Settembre Rw
1.0
1.0
1.0
0.75
0.75
0.15
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.50
0.02
0.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
-1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.50
1.0
0.47
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.25
1.0
1.0
0.25
1.00
1.0
1.0
1.0
1.0
1.0
1.0
-0.13
1.0
1.0
1.0
1.0
1.0
0.0
1.0
1.0
1.0
1.0
0.48
1.0
0.94
1.0
1.0
1.0
1.0
0.50
1.0
1.0
1.0
0.06
1.0
0.24
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.94
0.31
1.0
1.0
1.0
0.13
1.0
1.0
1.0
1.0
1.0
0.94
1.0
1.0
1.0
1.0
0.50
1.0
1.0
1.0
1.0
-1.0
1.0
0.67
1.0
0.50
1.0
1.0
1.0
0.47
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.00
1.0
1.0
0.94
1.0
1.00
1.0
1.0
1.0
1.0
1.0
0.16
0.50
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.94
0.94
0.47
1.0
1.0
1.0
1.0
1.00
0.13
1.0
1.0
0.47
1.0
1.0
1.0
1.0
1.0
1.0
0.50
1.0
1.0
1.0
1.0
1.0
0.96
1.0
0.94
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.29
1.0
1.0
-1.0
1.0
1.0
0.96
1.0
1.0
1.0
0.94
1.0
1.0
1.00
0.94
0.94
1.0
1.0
0.50
1.0
1.0
1.0
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.96
0.47
0.50
1.0
1.0
1.0
1.0
-1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.94
1.0
1.0
-1.0
1.0
0.47
1.0
1.0
1.0
0.94
1.0
1.0
0.54
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.94
1.0
0.14
1.0
0.17
1.0
1.0
1.0
1.0
1.0
0.56
1.0
1.0
0.50
1.0
1.0
1.0
1.0
1.0
0.96
0.94
1.0
-1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.96
1.0
1.0
1.00
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
-1.0
1.0
1.0
1.0
0.47
1.0
1.0
-1.0
0.29
1.0
-1.0
1.0
0.47
1.0
0.50
1.0
1.00
-1.0
1.0
1.0
0.0
1.00
1.0
1.0
1.0
1.0
1.0
1.0
-1.0
0.20
1.0
0.94
0.50
1.0
1.0
0.33
0.94
1.0
0.96
1.0
1.0
0.33
1.0
1.0
0.50
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.0
0.04
1.0
0.33
1.0
1.0
0.09
0.47
1.0
1.0
0.94
1.0
0.94
1.0
1.0
-1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.00
1.0
1.0
1.0
1.0
0.47
1.0
1.0
1.0
0.29
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.47
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.94
0.31
1.0
1.0
1.0
1.0
1.0
1.0
0.07
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.00
1.0
1.0
1.0
1.0
0.25
