Gennaio Rw
1.0
1.0
0.80
1.0
1.0
0.50
1.0
1.0
1.0
0.50
1.0
1.0
1.0
0.02
1.0
-1.0
1.0
0.17
1.0
1.0
1.0
1.0
1.0
1.0
0.23
0.33
-1.0
1.0
1.0
1.0
1.0
1.0
0.50
0.50
1.0
1.0
1.0
1.0
1.0
0.33
0.50
1.0
1.0
0.50
1.0
1.0
0.14
0.50
-1.0
1.0
1.0
0.50
0.16
1.0
0.25
1.0
0.50
1.0
1.0
1.0
1.0
0.0
1.0
1.0
1.0
0.0
1.0
1.0
-0.01
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
-1.0
1.0
1.0
1.0
1.0
1.0
-1.0
1.0
1.0
1.0
0.10
1.0
1.0
-1.0
1.0
1.0
1.0
1.0
-1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.0
-1.0
0.80
-1.0
1.0
0.25
0.25
-0.33
1.0
0.00
1.0
1.0
-1.0
0.07
1.0
0.33
1.0
1.0
0.33
1.0
1.0
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.00
0.97
1.0
1.0
1.0
1.0
1.0
1.0
0.49
1.0
0.50
0.50
1.0
1.0
1.0
0.67
1.0
0.50
1.0
1.0
0.33
0.02
1.0
1.0
1.0
1.0
0.0
1.0
1.0
0.75
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.50
1.0
1.0
1.0
1.0
1.0
0.33
0.33
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
-1.0
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.50
1.0
1.0
1.0
1.0
0.05
-1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.50
1.0
0.25
1.0
1.0
0.25
0.0
0.02
0.33
0.06
-1.0
1.0
-0.02
1.0
0.50
1.0
0.50
1.0
1.0
1.0
0.08
1.0
1.0
0.50
0.0
1.0
0.14
1.0
0.50
1.0
0.50
1.0
1.0
1.0
1.0
0.50
-1.0
1.0
0.96
1.0
1.0
0.50
1.0
0.0
1.0
1.0
1.0
1.0
1.0
0.25
-1.0
0.14
1.0
1.0
1.0
1.0
1.0
0.0
1.0
1.0
1.0
0.32
0.50
0.25
1.0
-1.0
1.0
-0.00
0.50
1.0
0.05
1.0
1.0
1.0
1.0
1.0
1.0
0.13
0.05
1.0
0.49
0.33
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.33
0.33
1.0
1.0
1.0
1.0
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.13
0.50
0.25
1.0
-0.00
0.50
1.0
1.0
1.0
1.0
0.0
0.01
0.20
1.0
1.0
1.0
1.0
0.20
1.0
0.50
0.50
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.10
1.0
1.0
1.0
0.07
1.0
0.04
1.0
1.0
1.0
1.0
1.0
-0.01
1.0
1.0
0.49
1.0
1.0
1.0
1.0
1.0
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
-1.0
1.0
1.0
0.50
0.0
1.0
-1.0
0.50
1.0
-1.0
1.0
0.11
1.0
1.0
0.0
1.0
1.0
1.0
0.50
0.17
1.0
1.0
0.50
0.0
0.0
1.0
1.0
1.0
0.25
1.0
0.46
1.0
-1.0
1.0
1.0
1.0
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
-0.00
1.0
1.0
-1.0
1.0
1.0
1.0
0.50
1.0
1.0
-1.0
1.0
1.0
1.0
0.50
-0.01
1.0
1.0
1.0
0.25
0.50
1.0
0.20
1.0
1.0
1.0
0.50
1.0
1.0
0.05
1.0
0.50
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.08
-1.0
1.0
1.0
1.0
1.0
1.0
0.50
-1.0
-1.0
1.0
