Settembre Rw,
totale,723
-0.5,0
0,8
0.6,2
0.2,11
0.1,5
-0.7,0
0.4,10
-0.1,1
0.3,10
-0.9,0
-0.2,0
0.9,0
-0.6,0
1,608
0.7,6
-0.3,0
-0.8,0
0.8,3
-0.4,1
-1,17
0.5,41
