Gennaio Rw,
totale,7994
-0.5,8
0,465
0.6,8
0.2,188
0.1,256
-0.7,0
0.4,199
-0.1,14
0.3,158
-0.9,0
-0.2,6
0.9,10
-0.6,0
1,5510
0.7,30
-0.3,17
-0.8,0
0.8,50
-0.4,4
-1,448
0.5,623
