Ottobre Rw,
totale,1877
-0.5,0
0,30
0.6,4
0.2,34
0.1,38
-0.7,0
0.4,44
-0.1,2
0.3,35
-0.9,0
-0.2,0
0.9,1
-0.6,0
1,1514
0.7,12
-0.3,0
-0.8,0
0.8,4
-0.4,1
-1,28
0.5,130
