'gufopit', 0, 'Fare campagna elettorale in #sicilia , sui treni regionali . Il "piano #trota " per la vittoria di #salvini #pd #m5s #leganord #lega ex nord pic.twitter.com/r4jgxyIf1x', '#sicilia #trota #salvini #pd #m5s #leganord #lega'
'marcoga', 0, u'I siciliani che votavano secondo una logica clientelare adesso votano il #m5s . Non sar\xe0 la soluzione ma \xe8 un miglioramento #regionalisicilia', u'#m5s #regionalisicilia'
'valente_adriano', 1, 'MUSUMECI IN PICCHIATA,VOLA CANCELLERI #M5S ..... #Sicilia #Regionali ... http:// fb.me/1FmoYuKeb', '#M5S #Sicilia #Regionali'
'VinceCT', 0, u'#Regionali : comincia il #tour di #Salvini in #Sicilia #elezioni #lega #Favara #Trapani http://www. hashtagsicilia.it/politica/regio nali-comincia-tour-salvini-sicilia-25526 \u2026 via @hashtagsicilia', u'#Regionali #tour #Salvini #Sicilia #elezioni #lega #Favara #Trapani'
'LucioRubbino', 0, 'il TE LO SPIEGO di Pietrangelo Buttafuoco #elezioni #regionali #sicilia #2017 http:// fb.me/78EalI0Hm', '#elezioni #regionali #sicilia #2017'
'giammandro', 0, u'#lasiciliachevorrei Ha le percentuali di Fava e Musumeci invertite nei sondaggi #5novembre #lasicilia\xe8bellaincartolina #regionaliSicilia', u'#lasiciliachevorrei #5novembre #lasicilia #regionaliSicilia'
'Mi_consento', 0, '#elezionisicilia #elezioni #PD #ForzaItalia #Micciche #Musumeci #musumecimente #sicilia2017 #Sicilia #regionali pic.twitter.com/pgzTSZCKbC', '#elezionisicilia #elezioni #PD #ForzaItalia #Micciche #Musumeci #musumecimente #sicilia2017 #Sicilia #regionali'
'ventezurbaine', 0, u'#Regionali #Sicilia , #Crocetta : " #Musumeci si ritiri o Isola diventer\xe0 impresentabile" [DETTAGLI] \u25ba\u25ba\u25ba #bastaPD https:// goo.gl/VfErTe', u'#Regionali #Sicilia #Crocetta #Musumeci #bastaPD'
'L_Cesa', 0, 'Mi auguro che siciliani andranno a votare. Chi non va a votare ha sempre torto! http://www. lorenzocesa.eu/?p=3433 #Sicilia #Elezioni #Regionali', '#Sicilia #Elezioni #Regionali'
'Udc_Sicilia', 0, u'Intervista del #Corriere a Giula Mezza Salma candidata #Udc alle prossime elezioni regionali in #Sicilia http:// video.corriere.it/sicilia-candid ata-dell-udc-le-mie-tre-vite-uomo-donna-da-onorevole/3221153e-bd5d-11e7-b457-66c72633d66c \u2026', u'#Corriere #Udc #Sicilia'
'GDS_it', 0, u'#Fava , forum al Giornale di Sicilia : "La mia scelta coerente, contro una accozzaglia di candidature" #regionali http:// gds.it/2017/10/30/fav a-forum-al-giornale-di-sicilia-la-diretta-con-il-candidato-video_748054/ \u2026 pic.twitter.com/KrYmaGm0MH', u'#Fava #regionali'
'GDS_it', 0, u'#Fava , forum al Giornale di Sicilia : segui la diretta col candidato - Video #regionali \u2026 http:// gds.it/2017/10/30/fav a-forum-al-giornale-di-sicilia-la-diretta-con-il-candidato-video_748054/?utm_medium=feed&utm_source=twitter.com&utm_campaign=Feed%3A+gds_twitter_feed \u2026 pic.twitter.com/zhVloh8imU', u'#Fava #regionali'
'Sabina1956', 1, u'. #imperdibile #capolavoro VIDEO APPELLO AI #SICILIANI . #regionaliSicilia #Sicilia5Stelle #CancelleriPresidente Unica possibilit\xe0 #RTW https:// twitter.com/Ilenia1970/sta tus/924974225961750528 \u2026', u'#imperdibile #capolavoro #SICILIANI #regionaliSicilia #Sicilia5Stelle #CancelleriPresidente #RTW'
'salvoguzzi', 0, u'Vigliacchi Ci trattano come burattini #tuttiacasa #regionalisicilia #5novembre https:// twitter.com/carlosibilia/s tatus/924947224848687104 \u2026', u'#tuttiacasa #regionalisicilia #5novembre'
'uzupetru', 4, '#RegionaliSicilia #DiMaio distrugge #salvini e punta ai voti del Nord Italia #lariachetira #tagadala7 pic.twitter.com/Xtivf9C6Mc', '#RegionaliSicilia #DiMaio #salvini #lariachetira #tagadala7'
'marginalstudio', 0, u'ImbarazzanteGrillo: "La #Mafia non uccideva i bambini nell\'acido \xe8 stata corrotta dalla finanza" #regionali #sicilia http://www. rainews.it/dl/rainews/med ia/Grillo-La-Mafia-non-uccideva-i-bambini-nell-acido-stata-corrotta-dalla-finanza-video-90fa4c04-92a9-46e1-85e6-c8e9fa325c00.html \u2026', u'#Mafia #regionali #sicilia'
'lecodelsud', 0, "https://www. lecodelsud.it / #regionali #Grillo #comico in #Sicilia #Cancelleri lo abbiamo scelto tra i #coglioni dell' #isola e l' #influenza ... pic.twitter.com/RdjYlu9HdO", '#regionali #Grillo #comico #Sicilia #Cancelleri #coglioni #isola #influenza'
'Radio24_news', 0, u'Viaggio nelle #elezioni regionali in #Sicilia |di Daniele @biacchessi http://www. radio24.ilsole24ore.com/notizie/viaggi o-elezioni-regionali-sicilia-170328-gSLAfDgmTC \u2026', u'#elezioni #Sicilia'
