5Novembre Rw,
totale,2145
-0.5,87
0,210
0.6,3
0.2,30
0.1,32
-0.7,6
0.4,35
-0.1,28
0.3,23
-0.9,30
-0.2,31
0.9,24
-0.6,8
1,718
0.7,40
-0.3,47
-0.8,0
0.8,25
-0.4,12
-1,663
0.5,93
